,Date,Volume,Open,High,Low,Close,Median,ac,jaw,teeth,lips,bjaw,bteeth,blips,ao,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,jaws_tmp,teeth_tmp,lips_tmp,fdbb,fdbs,fdb,aof,aoaz,aobz,zlc,zlcb,zlcs,zcol,sz,bz,acs,acb,ss,sb
44,2023-01-24 10:00:00,10768,4015.33,4016.58,3998.32,4001.83,4007.45,10.3938941176,3944.3594374091,3955.1700405094,3983.9091138136,3882.884354857,3907.0519924284,3939.2406820648,52.3034117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3985.4932234449,3999.2173862726,4010.5126633831,0.0,0.0,0.0,13.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,1.0,0.0,0.0,0.0
45,2023-01-24 14:00:00,81170,4001.83,4022.34,3990.82,4015.07,4006.58,2.3452264706,3946.6452499161,3963.5481604458,3991.7727910509,3883.346328398,3908.6540471116,3938.8237502394,48.8446764706,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3988.1290705143,4000.6899090181,4009.2017755887,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
46,2023-01-24 18:00:00,40629,4015.07,4032.83,4007.57,4024.34,4020.2,-1.0191411765,3948.861384538,3970.58339039,3997.1592328407,3883.8845157193,3910.1360644368,3938.2670222912,48.0352941176,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3992.1379367,4004.5919272145,4012.8678503925,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
47,2023-01-24 22:00:00,11589,4024.34,4026.195,3996.25,3998.25,4011.2225,-4.2510764706,3953.108201112,3977.1639040913,3999.2173862726,3884.5277234079,3911.5615905379,3937.2450510473,44.9671617647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3994.5235071125,4005.9180417716,4012.3194002617,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
48,2023-01-25 02:00:00,5032,3998.25,4005.0,3997.75,4001.01,4001.375,-5.8723558824,3958.4225702572,3982.3565410799,4000.6899090181,3885.3704456168,3913.0066525282,3936.1944613106,41.1971911765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3995.3799437234,4005.0094334173,4008.6712668411,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
49,2023-01-25 06:00:00,10903,4001.01,4009.25,3989.75,3990.27,3999.5,-4.8661705882,3963.1462186989,3985.4932234449,4004.5919272145,3886.3181372391,3914.6232588458,3935.4650653897,39.6783676471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3995.894950758,4003.9075467338,4005.6141778941,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
50,2023-01-25 10:00:00,15710,3990.27,3992.52,3973.27,3975.0,3982.895,-6.5257441176,3967.7678557221,3988.1290705143,4005.9180417716,3887.2870345734,3916.0938814123,3934.6053575842,35.3123235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3994.2699569133,3999.705037387,3998.041118596,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
51,2023-01-25 14:00:00,97132,3975.0,3991.52,3949.26,3986.25,3970.39,-11.5849264706,3971.6860975896,3992.1379367,4005.0094334173,3888.2211690164,3917.3637653866,3933.8224058905,25.8076029412,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3991.2849622991,3993.8420299096,3988.824079064,1.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
52,2023-01-25 18:00:00,53505,3986.25,4025.27,3985.25,4015.26,4005.26,-8.8773676471,3974.4371670058,3994.5235071125,4003.9075467338,3889.1030940837,3918.8302423796,3933.0771880702,24.4021617647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3993.0318420117,3996.1256239277,3994.302719376,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
53,2023-01-25 22:00:00,5637,4015.26,4025.99,4014.47,4020.99,4020.23,-3.03415,3976.9096926208,3995.3799437234,3999.705037387,3890.0126098805,3920.2623288818,3932.2768295975,27.5074264706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3996.4316117602,4000.9464991422,4002.9451462507,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,1.0
54,2023-01-26 02:00:00,4557,4020.99,4029.16,4020.22,4027.73,4024.69,2.9504970588,3980.2397162653,3995.894950758,3993.8420299096,3891.0706142639,3921.7901501748,3931.849128727,31.9455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3999.9639102902,4005.6951993137,4010.1934308338,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
55,2023-01-26 06:00:00,13574,4027.73,4035.24,4020.555,4021.49,4027.8975,9.7433794118,3982.6230073218,3994.2699569133,3996.1256239277,3892.1031916317,3922.8841474444,3932.3748896468,39.5948970588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4003.4556090039,4010.135659451,4016.0947872225,0.0,1.0,-1.0,0.0,1,0,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
56,2023-01-26 10:00:00,23351,4021.49,4044.365,4021.47,4041.11,4032.9175,14.8354382353,3984.0654682971,3991.2849622991,4000.9464991422,3893.0384366695,3923.2196174908,3933.5000399513,49.4067941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4007.1383453784,4014.6920275608,4021.7023581484,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
