,Date,Volume,Open,High,Low,Close,Median
272,2022-04-26 21:00:00,793657,13531.25,13588.349999999999,12806.05,12820.05,13197.199999999999
273,2022-04-27 21:00:00,782118,12889.05,13236.35,12883.1,13174.65,13059.725
274,2022-04-28 21:00:00,631348,13196.95,13546.95,13046.75,13312.35,13296.85
275,2022-04-29 21:00:00,401611,13206.75,13424.45,12883.25,12885.85,13153.85
276,2022-05-02 21:00:00,1041660,12925.8,13089.25,12714.65,13055.85,12901.95
277,2022-05-03 21:00:00,837043,13058.6,13188.95,12974.2,13125.45,13081.575
278,2022-05-04 21:00:00,600517,13126.349999999999,13560.25,12888.55,13500.45,13224.4
279,2022-05-05 21:00:00,577795,13511.3,13552.1500000000.1.32728.35,12902.85,13140.25
280,2022-05-06 21:00:00,430303,12888.15,12896.75,12544.15,12656.15,12720.45
281,2022-05-09 21:00:00,893876,12606.45,12640.0.1.338.95,12208.15,12389.475
282,2022-05-10 21:00:00,555407,12216.95,12550.75,12106.6500000000.1.32337.05,12328.7
283,2022-05-11 21:00:00,470134,12329.85,12557.1500000000.1.31942.95,12013.35,12250.050000000001
284,2022-05-12 21:00:00,527170.1.307.05,12134.95,11692.25,11876.75,11913.6
285,2022-05-13 21:00:00,438240,11895.1,12434.55,11895.1,12383.55,12164.825
286,2022-05-16 21:00:00,753775,12411.349999999999,12500.849999999999,12192.65,12239.05,12346.75
287,2022-05-17 21:00:00,414515,12235.95,12579.05,12235.85,12576.05,12407.45
288,2022-05-18 21:00:00,394999,12571.85,12592.849999999999,11862.55,11893.45,12227.699999999999
289,2022-05-19 21:00:00,483895,11905.55,12058.05,11703.6500000000.1.31897.95,11880.85
290,2022-05-20 21:00:00,379404,11899.25,12095.1500000000.1.31518.15,11826.349999999999,11806.650000000001
291,2022-05-21 21:00:00,10387,11825.95,11837.75,11799.349999999999,11832.65,11818.55
292,2022-05-23 21:00:00,795727,11866.45,12075.05,11795.15,12055.35,11935.099999999999
293,2022-05-24 21:00:00,707467,11913.95,11915.45,11581.95,11811.15,11748.7
294,2022-05-25 21:00:00,419777,11807.75,11952.95,11672.95,11892.75,11812.95
295,2022-05-26 21:00:00,578395,11885.6,12343.05,11848.55,12258.05,12095.8
296,2022-05-27 21:00:00,484753,12249.05,12719.75,12222.25,12717.25,12471.0
297,2022-05-30 21:00:00,202068,12707.35,12881.5,12672.849999999999,12808.85,12777.175
298,2022-05-31 21:00:00,810999,12811.6500000000.1.32825.75,12480.85,12653.65,12653.3
299,2022-06-01 21:00:00,741506,12662.25,12822.25,12454.35,12546.75,12638.3
300,2022-06-02 21:00:00,715794,12546.1,12900.9,12441.65,12894.25,12671.275
