Date,Volume,Open,High,Low,Close,Median
2021-07-05 21:00:00,43570,4352.83,4359.81,4317.26,4340.04,4338.535
2021-07-06 21:00:00,51223,4340.04,4364.36,4332.07,4363.53,4348.215
2021-07-07 21:00:00,85694,4363.53,4363.53,4290.27,4320.93,4326.9
2021-07-08 21:00:00,46552,4320.93,4374.45,4304.18,4370.31,4339.315
2021-07-11 21:00:00,42471,4370.31,4389.37,4352.76,4386.51,4371.065
2021-07-12 21:00:00,45557,4386.51,4394.36,4367.57,4370.23,4380.965
2021-07-13 21:00:00,46268,4370.23,4394.57,4360.39,4376.64,4377.48
2021-07-14 21:00:00,62273,4376.64,4380.37,4343.0,4358.21,4361.685
2021-07-15 21:00:00,54917,4358.21,4378.01,4324.58,4328.39,4351.295
2021-07-18 21:00:00,120059,4328.39,4330.65,4234.44,4271.34,4282.545
2021-07-19 21:00:00,73589,4271.34,4338.85,4263.03,4329.06,4300.94
2021-07-20 21:00:00,59101,4329.06,4365.26,4320.13,4365.16,4342.695
2021-07-21 21:00:00,42427,4365.16,4381.03,4351.32,4380.64,4366.175
2021-07-22 21:00:00,34081,4380.64,4416.97,4376.94,4410.66,4396.955
2021-07-25 21:00:00,47605,4410.66,4426.19,4385.24,4424.6,4405.715
2021-07-26 21:00:00,76253,4424.6,4425.43,4374.27,4392.8,4399.85
2021-07-27 21:00:00,75314,4392.8,4417.27,4387.395,4401.67,4402.3325
2021-07-28 21:00:00,43155,4401.67,4431.56,4389.53,4406.25,4410.545
2021-07-29 21:00:00,66925,4406.25,4413.48,4379.5,4403.47,4396.49
2021-08-01 21:00:00,56234,4403.47,4428.44,4386.28,4392.56,4407.36
2021-08-02 21:00:00,58286,4392.56,4425.7,4374.29,4417.59,4399.995
2021-08-03 21:00:00,43217,4417.59,4424.06,4400.6,4405.8,4412.33
2021-08-04 21:00:00,31381,4405.8,4431.27,4402.75,4429.93,4417.01
2021-08-05 21:00:00,34240,4429.93,4441.23,4424.42,4437.82,4432.825
2021-08-08 21:00:00,35286,4437.82,4439.62,4420.34,4435.25,4429.98
2021-08-09 21:00:00,34188,4435.25,4445.89,4424.61,4437.4,4435.25
2021-08-10 21:00:00,38072,4437.4,4450.98,4428.49,4449.11,4439.735
2021-08-11 21:00:00,29234,4449.11,4462.67,4437.08,4462.27,4449.875
2021-08-12 21:00:00,24780,4462.27,4469.54,4457.67,4467.78,4463.605
2021-08-15 21:00:00,44374,4467.78,4482.73,4439.24,4478.22,4460.985
2021-08-16 21:00:00,63522,4478.22,4478.23,4418.07,4443.54,4448.15
2021-08-17 21:00:00,56849,4443.54,4454.76,4386.91,4393.76,4420.835
2021-08-18 21:00:00,103378,4393.76,4419.5,4352.79,4408.31,4386.145
2021-08-19 21:00:00,64867,4408.31,4445.26,4376.5,4440.6,4410.88
2021-08-22 21:00:00,38677,4440.6,4490.0,4438.15,4485.84,4464.075
2021-08-23 21:00:00,31669,4485.84,4496.37,4481.41,4488.29,4488.89
2021-08-24 21:00:00,31032,4488.29,4502.4,4480.74,4498.09,4491.57
2021-08-25 21:00:00,53772,4498.09,4498.44,4469.41,4474.4,4483.925
2021-08-26 21:00:00,39515,4474.4,4514.06,4466.53,4510.39,4490.295
2021-08-29 21:00:00,26707,4510.39,4538.13,4504.84,4533.95,4521.485
2021-08-30 21:00:00,44706,4533.95,4545.36,4516.09,4531.46,4530.725
